,network,campaign,country_code,install,cost,rev_14,event_date,rev_30,is_adwords,is_minter,is_unity,profit,name,pick
50,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Poland,1577,29.455600000000008,55.06129999999998,86,47.68359999999999,0,0,1,25.605699999999974,ROAS_030621 (60b886ad8726d52c20efc377)-Poland-unity_ads,1.0
51,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Romania,1921,33.9938,51.270700000000005,82,46.45439999999999,0,0,1,17.276900000000005,ROAS_030621 (60b886ad8726d52c20efc377)-Romania-unity_ads,1.0
52,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Russia,23938,552.5619,575.0850999999997,90,506.35890000000006,0,0,1,22.523199999999633,ROAS_030621 (60b886ad8726d52c20efc377)-Russia-unity_ads,1.0
53,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Spain,138,1.5879000000000003,4.8091,49,4.181699999999999,0,0,1,3.2211999999999996,ROAS_030621 (60b886ad8726d52c20efc377)-Spain-unity_ads,1.0
54,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Sweden,71,1.8915,4.9647000000000014,42,4.510100000000001,0,0,1,3.0732000000000017,ROAS_030621 (60b886ad8726d52c20efc377)-Sweden-unity_ads,1.0
55,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Turkey,218,1.8911000000000002,4.494400000000001,56,3.9650000000000003,0,0,1,2.6033000000000004,ROAS_030621 (60b886ad8726d52c20efc377)-Turkey-unity_ads,1.0
56,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Ukraine,437,4.880899999999997,6.059600000000001,50,5.056900000000001,0,0,1,1.1787000000000045,ROAS_030621 (60b886ad8726d52c20efc377)-Ukraine-unity_ads,1.0
57,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),United Kingdom,56,1.0378,8.880400000000002,32,7.9148000000000005,0,0,1,7.842600000000002,ROAS_030621 (60b886ad8726d52c20efc377)-United Kingdom-unity_ads,1.0
58,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),United States,597,14.008400000000002,188.8853,72,163.9296,0,0,1,174.8769,ROAS_030621 (60b886ad8726d52c20efc377)-United States-unity_ads,1.0
59,unity_ads,ROAS_030621 (60b886ad8726d52c20efc377),Viet Nam,66,0.9880000000000001,1.4313,26,1.2482000000000002,0,0,1,0.4432999999999999,ROAS_030621 (60b886ad8726d52c20efc377)-Viet Nam-unity_ads,1.0
60,unity_ads,Tier 123_030921,Argentina,2727,23.559999999999995,48.45119999999999,92,43.47849999999999,0,0,1,24.891199999999998,Tier 123_030921-Argentina-unity_ads,1.0
61,unity_ads,Tier 123_030921,Australia,78,7.800000000000003,14.720799999999997,51,12.853600000000002,0,0,1,6.920799999999994,Tier 123_030921-Australia-unity_ads,1.0
62,unity_ads,Tier 123_030921,Brazil,1601,11.430000000000003,43.27279999999999,92,39.00499999999999,0,0,1,31.842799999999986,Tier 123_030921-Brazil-unity_ads,1.0
63,unity_ads,Tier 123_030921,Chile,2904,46.79999999999999,70.56050000000002,92,61.16270000000001,0,0,1,23.76050000000003,Tier 123_030921-Chile-unity_ads,1.0
64,unity_ads,Tier 123_030921,Colombia,2455,22.359999999999992,55.773099999999985,92,50.02689999999999,0,0,1,33.41309999999999,Tier 123_030921-Colombia-unity_ads,1.0
65,unity_ads,Tier 123_030921,Finland,67,1.9200000000000008,3.703999999999999,45,3.5420999999999987,0,0,1,1.783999999999998,Tier 123_030921-Finland-unity_ads,1.0
66,unity_ads,Tier 123_030921,France,1622,46.29999999999998,122.62560000000002,92,107.89980000000001,0,0,1,76.32560000000004,Tier 123_030921-France-unity_ads,1.0
67,unity_ads,Tier 123_030921,Germany,809,27.11999999999999,87.03999999999996,92,78.29979999999998,0,0,1,59.91999999999997,Tier 123_030921-Germany-unity_ads,1.0
68,unity_ads,Tier 123_030921,Hong Kong,176,13.399999999999997,16.777399999999997,75,15.108099999999999,0,0,1,3.3773999999999997,Tier 123_030921-Hong Kong-unity_ads,1.0
69,unity_ads,Tier 123_030921,Indonesia,1071,9.119999999999997,25.182699999999993,92,22.929399999999998,0,0,1,16.062699999999996,Tier 123_030921-Indonesia-unity_ads,1.0
70,unity_ads,Tier 123_030921,Ireland,238,8.640000000000004,16.280600000000007,79,14.509300000000001,0,0,1,7.640600000000003,Tier 123_030921-Ireland-unity_ads,1.0
71,unity_ads,Tier 123_030921,Italy,348,4.920000000000003,13.148200000000001,86,11.8154,0,0,1,8.228199999999998,Tier 123_030921-Italy-unity_ads,1.0
72,unity_ads,Tier 123_030921,Latvia,86,0.7600000000000001,2.217799999999999,58,1.8099,0,0,1,1.4577999999999989,Tier 123_030921-Latvia-unity_ads,1.0
73,unity_ads,Tier 123_030921,Lithuania,107,1.0000000000000004,2.094800000000001,58,1.7623000000000004,0,0,1,1.0948000000000007,Tier 123_030921-Lithuania-unity_ads,1.0
74,unity_ads,Tier 123_030921,Malaysia,258,3.0800000000000005,8.058499999999999,86,7.250999999999998,0,0,1,4.978499999999999,Tier 123_030921-Malaysia-unity_ads,1.0
75,unity_ads,Tier 123_030921,Paraguay,160,0.8800000000000002,1.9046999999999996,70,1.7005,0,0,1,1.0246999999999993,Tier 123_030921-Paraguay-unity_ads,1.0
76,unity_ads,Tier 123_030921,Peru,1789,15.139999999999999,31.86490000000001,92,28.369500000000006,0,0,1,16.724900000000012,Tier 123_030921-Peru-unity_ads,1.0
77,unity_ads,Tier 123_030921,Philippines,674,5.4300000000000015,15.297400000000003,92,13.903799999999991,0,0,1,9.867400000000002,Tier 123_030921-Philippines-unity_ads,1.0
78,unity_ads,Tier 123_030921,Poland,2934,44.84000000000001,93.08249999999998,92,80.69699999999997,0,0,1,48.24249999999997,Tier 123_030921-Poland-unity_ads,1.0
79,unity_ads,Tier 123_030921,Portugal,178,1.7700000000000005,3.9505,72,3.6143999999999985,0,0,1,2.1804999999999994,Tier 123_030921-Portugal-unity_ads,1.0
80,unity_ads,Tier 123_030921,Romania,69,0.48000000000000015,1.7636,49,1.5566999999999998,0,0,1,1.2835999999999999,Tier 123_030921-Romania-unity_ads,1.0
81,unity_ads,Tier 123_030921,Russia,18238,15.560000000000004,364.02380000000005,92,314.6837000000001,0,0,1,348.46380000000005,Tier 123_030921-Russia-unity_ads,1.0
82,unity_ads,Tier 123_030921,Singapore,111,5.040000000000002,9.963899999999997,57,7.9312000000000005,0,0,1,4.923899999999995,Tier 123_030921-Singapore-unity_ads,1.0
83,unity_ads,Tier 123_030921,South Korea,90,3.149999999999999,7.520800000000001,48,6.532000000000001,0,0,1,4.370800000000003,Tier 123_030921-South Korea-unity_ads,1.0
84,unity_ads,Tier 123_030921,Spain,397,5.560000000000003,13.812999999999997,90,12.3507,0,0,1,8.252999999999993,Tier 123_030921-Spain-unity_ads,1.0
85,unity_ads,Tier 123_030921,Switzerland,52,2.400000000000001,4.123399999999998,40,3.9666999999999986,0,0,1,1.7233999999999976,Tier 123_030921-Switzerland-unity_ads,1.0
86,unity_ads,Tier 123_030921,"Taiwan, Province Of China",487,47.0,75.99939999999994,89,66.5235,0,0,1,28.999399999999937,"Tier 123_030921-Taiwan, Province Of China-unity_ads",1.0
87,unity_ads,Tier 123_030921,Thailand,477,5.080000000000003,12.806499999999998,88,11.4406,0,0,1,7.726499999999995,Tier 123_030921-Thailand-unity_ads,1.0
